1		0	0		0.000000		0.000000		1.#INF00		0.000000
2		0	2197		1.400664		0.078995		46.667461		8.959563
3		0	2197		5.300703		0.166241		40.887470		35.503407
4		13	2184		0.476442		0.032777		51.350704		3.017887
5		7	2190		4.755031		0.136816		41.359272		52.100716
6		15	2182		0.979747		0.037881		48.219666		6.517417
7		15	2182		1.601427		0.053148		46.085735		4.496422
8		19	2178		0.098500		0.008950		58.196442		0.634514
9		19	2178		0.017834		0.004078		65.618225		0.191482
10		18	2179		1.920700		0.080887		45.296207		4.788798
11		33	2164		0.444534		0.029016		51.651749		4.741153
12		34	2163		2.423764		0.072583		44.285896		5.411999
13		35	2162		4.476573		0.097698		41.621346		5.500711
14		33	2164		9.728229		0.191122		38.250465		10.723396
15		29	2168		12.514661		0.247986		37.156612		13.665132
16		34	2163		6.955401		0.160255		39.707581		5.577435
17		30	2167		6.925227		0.180608		39.726463		8.827954
18		47	2150		9.092269		0.186228		38.544079		9.194116
19		50	2147		5.588805		0.188848		40.657616		11.622603
20		59	2138		1.900350		0.084453		45.342468		3.444108
21		65	2132		1.134150		0.059703		47.584099		1.704691
22		59	2138		7.527998		0.256461		39.364010		9.216682
23		61	2136		10.844646		0.264866		37.778648		9.780721
24		77	2120		9.176712		0.217319		38.503933		7.142635
25		81	2116		14.916684		0.313747		36.394081		9.233479
26		85	2112		11.133545		0.283577		37.664467		8.511641
27		87	2110		12.523139		0.228745		37.153671		5.518489
28		86	2111		11.636508		0.241227		37.472576		6.561722
29		94	2103		8.445738		0.253447		38.864426		8.334746
30		100	2097		8.090822		0.253750		39.050877		7.197503
31		106	2091		7.084728		0.256825		39.627571		7.063165
32		107	2090		7.996664		0.259039		39.101715		7.118861
33		116	2081		14.271994		0.340434		36.585957		5.902644
34		113	2084		17.267357		0.376711		35.758545		7.093398
35		113	2084		22.898598		0.453605		34.532715		9.102741
36		117	2080		24.652706		0.539647		34.212158		13.097787
37		124	2073		28.763237		0.597452		33.542427		17.970654
38		132	2065		31.285912		0.661530		33.177315		13.853662
39		136	2061		43.340805		0.750098		31.761835		13.026592
40		134	2063		34.723305		0.682056		32.724594		15.194431
41		142	2055		33.520775		0.758164		32.877663		14.832421
42		146	2051		27.671091		0.619922		33.710541		13.383839
43		139	2058		48.682205		1.016280		31.257099		22.372589
44		168	2029		35.593258		0.761148		32.617126		14.608179
45		171	2026		41.298157		0.924480		31.971497		21.020922
